Token,NE?,NEtype,Governor,ListofDependants,SentimentValueofToken,SentimentValueofSentence
saying,0,,conclusions,['had'],0.0,2.0
intelligence,0,,officials,[],0.0,2.0
officials,0,,had,['intelligence'],0.0,2.0
had,0,,saying,"['officials', 'information']",0.0,2.0
specific,0,,information,[],0.0,2.0
information,0,,had,"['specific', 'preferred']",0.0,2.0
that,0,,preferred,[],0.0,2.0
Russia,1,GPE,preferred,[],0.0,2.0
preferred,0,,information,"['that', 'Russia', 'Trump', 'and', 'approved']",0.0,2.0
Trump,1,ORG,preferred,[],0.0,2.0
and,0,,preferred,[],0.0,2.0
that,0,,approved,[],0.0,2.0
Russian,1,NORP,President,[],0.0,2.0
President,0,,Putin,['Russian'],0.0,2.0
Vladimir,1,PERSON,Putin,[],0.0,2.0
Putin,1,PERSON,approved,"['President', 'Vladimir']",0.0,2.0
had,0,,approved,[],0.0,2.0
approved,0,,preferred,"['that', 'Putin', 'had', 'and', 'directed']",2.0,2.0
and,0,,approved,[],0.0,2.0
directed,0,,approved,['aspects'],0.0,2.0
aspects,0,,directed,['of'],0.0,2.0
of,0,,aspects,['campaign'],0.0,2.0
the,0,,Kremlin,[],0.0,2.0
Kremlin,1,ORG,campaign,"['the', ""'s""]",0.0,2.0
's,0,,Kremlin,[],0.0,2.0
influence,0,,campaign,[],0.0,2.0
campaign,0,,of,"['Kremlin', 'influence']",0.0,2.0
It,0,,found,[],0.0,1.0
also,0,,found,[],0.0,1.0
found,0,,found,"['It', 'also', 'ties', '.']",0.0,1.0
clear,0,,ties,[],1.0,1.0
ties,0,,found,"['clear', 'between', 'concluding']",0.0,1.0
between,0,,ties,['campaign'],0.0,1.0
Trump,1,ORG,campaign,"[""'s""]",0.0,1.0
's,0,,Trump,[],0.0,1.0
campaign,0,,between,"['Trump', 'and', 'Russia']",0.0,1.0
and,0,,campaign,[],0.0,1.0
Russia,1,GPE,campaign,[],0.0,1.0
concluding,0,,ties,['had'],0.0,1.0
that,0,,had,[],0.0,1.0
Trump,1,ORG,chairman,"[""'s""]",0.0,1.0
's,0,,Trump,[],0.0,1.0
campaign,0,,chairman,[],0.0,1.0
chairman,0,,had,"['Trump', 'campaign']",0.0,1.0
had,0,,had,[],0.0,1.0
had,0,,concluding,"['that', 'chairman', 'had', 'contact', 'and', 'were']",0.0,1.0
regular,0,,contact,[],0.0,1.0
contact,0,,had,"['regular', 'with']",0.0,1.0
with,0,,contact,['officer'],0.0,1.0
a,0,,officer,[],0.0,1.0
Russian,1,NORP,officer,[],0.0,1.0
intelligence,0,,officer,[],0.0,1.0
officer,0,,with,"['a', 'Russian', 'intelligence']",0.0,1.0
and,0,,had,[],0.0,1.0
that,0,,were,[],0.0,1.0
other,0,,associates,[],0.0,1.0
Trump,1,ORG,associates,[],0.0,1.0
associates,0,,were,"['other', 'Trump']",0.0,1.0
were,0,,had,"['that', 'associates', 'eager']",0.0,1.0
eager,0,,were,['exploit'],2.0,1.0
to,0,,exploit,[],0.0,1.0
exploit,0,,eager,"['to', 'aid']",-2.0,1.0
the,0,,Kremlin,[],0.0,1.0
Kremlin,1,ORG,aid,"['the', ""'s""]",0.0,1.0
's,0,,Kremlin,[],0.0,1.0
aid,0,,exploit,['Kremlin'],0.0,1.0
Former,0,,counsel,[],0.0,-9.0
special,0,,counsel,[],0.0,-9.0
counsel,0,,establish,"['Former', 'special', 'Mueller', 'charged']",0.0,-9.0
Robert,1,PERSON,Mueller,[],0.0,-9.0
Mueller,1,PERSON,counsel,['Robert'],0.0,-9.0
who,0,,charged,[],0.0,-9.0
was,0,,charged,[],0.0,-9.0
charged,0,,counsel,"['who', 'was', 'with']",-3.0,-9.0
with,0,,charged,['investigating'],0.0,-9.0
further,0,,investigating,[],0.0,-9.0
investigating,0,,with,"['further', 'links']",0.0,-9.0
the,0,,links,[],0.0,-9.0
links,0,,investigating,"['the', 'between']",0.0,-9.0
between,0,,links,['Trump'],0.0,-9.0
Trump,1,ORG,between,"['and', 'Russia']",0.0,-9.0
and,0,,Trump,[],0.0,-9.0
Russia,1,GPE,Trump,[],0.0,-9.0
did,0,,establish,[],0.0,-9.0
not,0,,establish,[],0.0,-9.0
establish,0,,establish,"['counsel', 'did', 'not', 'conspiracy', 'but', 'concluded', '.']",0.0,-9.0
a,0,,conspiracy,[],0.0,-9.0
criminal,0,,conspiracy,[],-3.0,-9.0
conspiracy,0,,establish,"['a', 'criminal', 'between']",-3.0,-9.0
between,0,,conspiracy,['Russia'],0.0,-9.0
Russia,1,GPE,between,"['and', 'campaign']",0.0,-9.0
and,0,,Russia,[],0.0,-9.0
the,0,,campaign,[],0.0,-9.0
Trump,1,ORG,campaign,[],0.0,-9.0
campaign,0,,Russia,"['the', 'Trump']",0.0,-9.0
but,0,,establish,[],0.0,-9.0
concluded,0,,establish,['was'],0.0,-9.0
that,0,,was,[],0.0,-9.0
Russian,1,NORP,interference,[],0.0,-9.0
interference,0,,was,['Russian'],0.0,-9.0
was,0,,concluded,"['that', 'interference', 'sweeping']",0.0,-9.0
sweeping,0,,was,"['and', 'systematic']",0.0,-9.0
and,0,,sweeping,[],0.0,-9.0
systematic,0,,sweeping,[],0.0,-9.0
His,0,,investigation,[],0.0,-5.0
investigation,0,,resulted,['His'],0.0,-5.0
resulted,0,,resulted,"['investigation', 'in', '.']",0.0,-5.0
in,0,,resulted,['charges'],0.0,-5.0
criminal,0,,charges,[],-3.0,-5.0
charges,0,,in,"['criminal', 'against']",-2.0,-5.0
against,0,,charges,['people'],0.0,-5.0
34,1,CARDINAL,people,[],0.0,-5.0
people,0,,against,"['34', 'and', 'entities']",0.0,-5.0
and,0,,people,[],0.0,-5.0
three,1,CARDINAL,entities,[],0.0,-5.0
entities,0,,people,"['three', 'including']",0.0,-5.0
including,0,,entities,['chair'],0.0,-5.0
26,1,CARDINAL,Trump,[],0.0,-5.0
Russians,1,NORP,Trump,[],0.0,-5.0
Trump,1,ORG,chair,"['26', 'Russians', ""'s""]",0.0,-5.0
's,0,,Trump,[],0.0,-5.0
former,0,,chair,[],0.0,-5.0
campaign,0,,chair,[],0.0,-5.0
chair,0,,including,"['Trump', 'former', 'campaign', 'and', 'adviser']",0.0,-5.0
and,0,,chair,[],0.0,-5.0
national,0,,security,[],0.0,-5.0
security,0,,adviser,['national'],0.0,-5.0
adviser,0,,chair,['security'],0.0,-5.0
Representatives,0,,respond,['for'],0.0,0.0
for,0,,Representatives,['Trump'],0.0,0.0
Trump,1,ORG,for,[],0.0,0.0
did,0,,respond,[],0.0,0.0
not,0,,respond,[],0.0,0.0
respond,0,,respond,"['Representatives', 'did', 'not', 'to', '.']",0.0,0.0
to,0,,respond,['requests'],0.0,0.0
requests,0,,to,['for'],0.0,0.0
for,0,,requests,['comment'],0.0,0.0
comment,0,,for,[],0.0,0.0
But,0,,defended,[],0.0,0.0
Trump,1,ORG,attorney,[],0.0,0.0
attorney,0,,Habba,['Trump'],0.0,0.0
Alina,1,PERSON,Habba,[],0.0,0.0
Habba,1,PERSON,defended,"['attorney', 'Alina']",0.0,0.0
defended,0,,defended,"['But', 'Habba', 'approach', 'telling', '.']",0.0,0.0
his,0,,approach,[],0.0,0.0
approach,0,,defended,"['his', 'on']",0.0,0.0
on,0,,approach,['Newsmax'],0.0,0.0
Newsmax,1,ORG,on,[],0.0,0.0
telling,0,,defended,"['network', 'coming']",0.0,0.0
the,0,,network,[],0.0,0.0
network,0,,telling,['the'],0.0,0.0
more,0,,suits,[],0.0,0.0
suits,0,,coming,['more'],0.0,0.0
were,0,,coming,[],0.0,0.0
coming,0,,telling,"['suits', 'were', 'soon']",0.0,0.0
soon,0,,coming,[],0.0,0.0
We,0,,have,[],0.0,0.0
have,0,,said,"['We', 'suit']",0.0,0.0
another,0,,suit,[],0.0,0.0
suit,0,,have,"['another', 'filed']",0.0,0.0
being,0,,filed,[],0.0,0.0
filed,0,,suit,"['being', 'shortly']",0.0,0.0
shortly,0,,filed,[],0.0,0.0
she,0,,said,[],0.0,0.0
said,0,,said,"['have', 'she', '.']",0.0,0.0
And,0,,going,[],0.0,-2.0
anybody,0,,going,['going'],0.0,-2.0
that,0,,going,[],0.0,-2.0
's,0,,going,[],0.0,-2.0
going,0,,anybody,"['that', ""'s"", 'try']",0.0,-2.0
to,0,,try,[],0.0,-2.0
try,0,,going,"['to', 'and', 'make']",0.0,-2.0
and,0,,try,[],0.0,-2.0
make,0,,try,"['up', 'stories', 'sitting']",0.0,-2.0
up,0,,make,[],0.0,-2.0
malicious,0,,stories,[],0.0,-2.0
stories,0,,make,"['malicious', 'about']",0.0,-2.0
about,0,,stories,['him'],0.0,-2.0
him,0,,about,[],0.0,-2.0
while,0,,sitting,[],0.0,-2.0
he,0,,sitting,[],0.0,-2.0
was,0,,sitting,[],0.0,-2.0
sitting,0,,make,"['while', 'he', 'was', 'as', 'prior', 'or']",0.0,-2.0
as,0,,sitting,['president'],0.0,-2.0
president,0,,as,[],0.0,-2.0
prior,0,,sitting,['to'],0.0,-2.0
to,0,,prior,['presidency'],0.0,-2.0
his,0,,presidency,[],0.0,-2.0
presidency,0,,to,['his'],0.0,-2.0
or,0,,sitting,[],0.0,-2.0
now,0,,going,[],0.0,-2.0
is,0,,going,[],0.0,-2.0
going,0,,going,"['And', 'anybody', 'now', 'is', 'sued', '.']",0.0,-2.0
to,0,,sued,[],0.0,-2.0
be,0,,sued,[],0.0,-2.0
sued,0,,going,"['to', 'be']",-2.0,-2.0
Trump,1,ORG,using,[],0.0,0.0
meanwhile,0,,using,[],0.0,0.0
was,0,,using,[],0.0,0.0
already,0,,using,[],0.0,0.0
using,0,,using,"['Trump', 'meanwhile', 'was', 'already', 'filing', 'rile', '.']",0.0,0.0
the,0,,filing,[],0.0,0.0
filing,0,,using,['the'],0.0,0.0
to,0,,rile,[],0.0,0.0
rile,0,,using,"['to', 'up', 'crowds', 'at', 'night']",0.0,0.0
up,0,,rile,[],0.0,0.0
his,0,,crowds,[],0.0,0.0
crowds,0,,rile,['his'],0.0,0.0
at,0,,rile,['rally'],0.0,0.0
a,0,,rally,[],0.0,0.0
rally,0,,at,"['a', 'in']",0.0,0.0
in,0,,rally,['Georgia'],0.0,0.0
Georgia,1,GPE,in,[],0.0,0.0
Saturday,1,DATE,night,[],0.0,0.0
night,1,TIME,rile,['Saturday'],0.0,0.0
To,0,,fight,[],0.0,-7.0
fight,0,,filed,"['To', 'back', 'against', 'and', 'lies']",-1.0,-7.0
back,0,,fight,[],0.0,-7.0
against,0,,fight,['hoaxes'],0.0,-7.0
this,0,,establishment,[],0.0,-7.0
corrupt,0,,establishment,[],-3.0,-7.0
establishment,0,,hoaxes,"['this', 'corrupt', ""'s""]",0.0,-7.0
's,0,,establishment,[],0.0,-7.0
relentless,0,,hoaxes,[],-1.0,-7.0
hoaxes,0,,against,"['establishment', 'relentless']",0.0,-7.0
and,0,,fight,[],0.0,-7.0
lies,0,,fight,['week'],0.0,-7.0
this,1,DATE,week,[],0.0,-7.0
week,1,DATE,lies,['this'],0.0,-7.0
I,0,,filed,[],0.0,-7.0
filed,0,,filed,"['fight', 'I', 'lawsuit', 'hold']",0.0,-7.0
a,0,,lawsuit,[],0.0,-7.0
historic,0,,lawsuit,[],0.0,-7.0
lawsuit,0,,filed,"['a', 'historic']",-2.0,-7.0
to,0,,hold,[],0.0,-7.0
hold,0,,filed,"['to', 'accountable']",0.0,-7.0
them,0,,accountable,[],0.0,-7.0
accountable,0,,hold,"['them', 'for']",0.0,-7.0
for,0,,accountable,['Russia'],0.0,-7.0
the,0,,Russia,[],0.0,-7.0
Russia,1,GPE,Russia,[],0.0,-7.0
Russia,1,GPE,Russia,['Russia'],0.0,-7.0
Russia,1,GPE,for,"['the', 'Russia']",0.0,-7.0
hoax,0,,Trump,[],-2.0,0.0
Trump,1,ORG,said,['hoax'],0.0,0.0
said,0,,said,"['Trump', 'to', '.']",0.0,0.0
to,0,,said,['cheers'],0.0,0.0
cheers,0,,to,[],2.0,0.0
His,0,,mention,[],0.0,2.0
mention,0,,prompted,"['His', 'of']",0.0,2.0
of,0,,mention,['Clinton'],0.0,2.0
Clinton,1,PERSON,of,[],0.0,2.0
prompted,0,,prompted,"['mention', 'applause', '!']",0.0,2.0
especially,0,,loud,[],0.0,2.0
loud,0,,applause,['especially'],0.0,2.0
applause,0,,prompted,"['loud', 'and', 'revival']",2.0,2.0
and,0,,applause,[],0.0,2.0
a,0,,revival,[],0.0,2.0
revival,0,,applause,"['a', 'of']",0.0,2.0
of,0,,revival,['Lock'],0.0,2.0
the,0,,Lock,[],0.0,2.0
Lock,1,PERSON,of,"['the', 'her', 'up']",0.0,2.0
her,0,,Lock,[],0.0,2.0
up,0,,Lock,[],0.0,2.0
chant,0,,chant,"['was', '.']",0.0,0.0
that,0,,was,[],0.0,0.0
was,0,,chant,"['that', 'feature']",0.0,0.0
a,0,,feature,[],0.0,0.0
defining,0,,feature,[],0.0,0.0
feature,0,,was,"['a', 'defining', 'of']",0.0,0.0
of,0,,feature,['campaign'],0.0,0.0
his,0,,campaign,[],0.0,0.0
2016,1,DATE,campaign,[],0.0,0.0
campaign,0,,of,"['his', '2016']",0.0,0.0
In,0,,lend,['addition'],0.0,3.0
addition,0,,In,['to'],0.0,3.0
to,0,,addition,['serving'],0.0,3.0
serving,0,,to,['as'],0.0,3.0
as,0,,serving,['cudgel'],0.0,3.0
a,0,,cudgel,[],0.0,3.0
useful,0,,cudgel,[],2.0,3.0
political,0,,cudgel,[],0.0,3.0
cudgel,0,,as,"['a', 'useful', 'political']",0.0,3.0
Trump,1,ORG,effort,"[""'s""]",0.0,3.0
's,0,,Trump,[],0.0,3.0
effort,0,,lend,"['Trump', 'comes']",0.0,3.0
which,0,,comes,[],0.0,3.0
comes,0,,effort,"['which', 'mulling']",0.0,3.0
as,0,,mulling,[],0.0,3.0
he,0,,mulling,[],0.0,3.0
is,0,,mulling,[],0.0,3.0
mulling,0,,comes,"['as', 'he', 'is', 'run']",0.0,3.0
another,0,,run,[],0.0,3.0
run,0,,mulling,"['another', 'for']",0.0,3.0
for,0,,run,['House'],0.0,3.0
the,1,ORG,House,[],0.0,3.0
White,1,ORG,House,[],0.0,3.0
House,1,ORG,for,"['the', 'White']",0.0,3.0
could,0,,lend,[],0.0,3.0
lend,0,,said,"['In', 'effort', 'could', 'imprimatur', 'campaign']",0.0,3.0
the,0,,imprimatur,[],0.0,3.0
imprimatur,0,,lend,"['the', 'of']",0.0,3.0
of,0,,imprimatur,['credibility'],0.0,3.0
credibility,0,,of,[],0.0,3.0
to,0,,campaign,[],0.0,3.0
campaign,0,,lend,"['to', 'grievances']",0.0,3.0
trail,0,,grievances,[],0.0,3.0
grievances,0,,campaign,['trail'],0.0,3.0
said,0,,said,"['lend', 'Gillers', '.']",0.0,3.0
Stephen,1,PERSON,Gillers,[],0.0,3.0
Gillers,1,PERSON,said,"['Stephen', 'professor']",0.0,3.0
a,0,,professor,[],0.0,3.0
New,1,ORG,York,[],0.0,3.0
York,1,ORG,University,['New'],0.0,3.0
University,1,ORG,professor,['York'],0.0,3.0
professor,0,,Gillers,"['a', 'University', 'of']",0.0,3.0
of,0,,professor,['ethics'],0.0,3.0
legal,0,,ethics,[],1.0,3.0
ethics,0,,of,['legal'],0.0,3.0
To,0,,adds,"['public', 'fact']",0.0,-1.0
the,0,,public,[],0.0,-1.0
unaware,0,,public,[],-2.0,-1.0
public,0,,To,"['the', 'unaware']",0.0,-1.0
the,0,,fact,[],0.0,-1.0
fact,0,,To,"['the', 'repackaged']",0.0,-1.0
that,0,,repackaged,[],0.0,-1.0
grievances,0,,repackaged,[],0.0,-1.0
are,0,,repackaged,[],0.0,-1.0
repackaged,0,,fact,"['that', 'grievances', 'are', 'as']",0.0,-1.0
as,0,,repackaged,['claims'],0.0,-1.0
legal,0,,claims,[],1.0,-1.0
claims,0,,as,['legal'],0.0,-1.0
adds,0,,adds,"['To', 'credibility', 'to', 'said', '.']",0.0,-1.0
credibility,0,,adds,[],0.0,-1.0
to,0,,adds,['force'],0.0,-1.0
the,0,,force,[],0.0,-1.0
force,0,,to,"['the', 'of']",0.0,-1.0
of,0,,force,['grievances'],0.0,-1.0
those,0,,grievances,[],0.0,-1.0
grievances,0,,of,['those'],0.0,-1.0
Gillers,0,,said,[],0.0,-1.0
said,0,,adds,['Gillers'],0.0,-1.0
Anyone,0,,be,['pays'],0.0,-3.0
who,0,,pays,[],0.0,-3.0
pays,0,,Anyone,"['who', 'attention', 'to']",0.0,-3.0
attention,0,,pays,[],0.0,-3.0
to,0,,pays,['goes'],0.0,-3.0
what,0,,goes,[],0.0,-3.0
goes,0,,to,"['what', 'on', 'in']",0.0,-3.0
on,0,,goes,[],0.0,-3.0
in,0,,goes,['courts'],0.0,-3.0
the,0,,courts,[],0.0,-3.0
courts,0,,in,['the'],0.0,-3.0
will,0,,be,[],0.0,-3.0
be,0,,be,"['Anyone', 'will', 'able', '.']",0.0,-3.0
able,0,,be,['see'],0.0,-3.0
to,0,,see,[],0.0,-3.0
see,0,,able,"['to', 'through', 'as']",0.0,-3.0
through,0,,see,['claims'],0.0,-3.0
these,0,,claims,[],0.0,-3.0
claims,0,,through,['these'],0.0,-3.0
as,0,,see,['claims'],0.0,-3.0
claims,0,,as,"['of', 'in']",0.0,-3.0
of,0,,claims,['victimization'],0.0,-3.0
political,0,,victimization,[],0.0,-3.0
victimization,0,,of,['political'],-3.0,-3.0
in,0,,claims,['form'],0.0,-3.0
another,0,,form,[],0.0,-3.0
form,0,,in,['another'],0.0,-3.0
But,0,,pay,[],0.0,-1.0
the,0,,public,[],0.0,-1.0
public,0,,pay,"['the', 'by']",0.0,-1.0
by,0,,public,"['and', 'large']",0.0,-1.0
and,0,,by,[],0.0,-1.0
large,0,,by,[],0.0,-1.0
does,0,,pay,[],0.0,-1.0
not,0,,pay,[],0.0,-1.0
pay,0,,pay,"['But', 'public', 'does', 'not', 'attention', 'to', '.']",-1.0,-1.0
attention,0,,pay,[],0.0,-1.0
to,0,,pay,['validity'],0.0,-1.0
the,0,,validity,[],0.0,-1.0
validity,0,,to,"['the', 'of']",0.0,-1.0
of,0,,validity,['claims'],0.0,-1.0
the,0,,claims,[],0.0,-1.0
claims,0,,of,['the'],0.0,-1.0
Last,1,DATE,year,[],0.0,-5.0
year,1,DATE,took,['Last'],0.0,-5.0
Trump,1,PERSON,took,[],0.0,-5.0
took,0,,took,"['year', 'Trump', 'suits', 'against', '.']",0.0,-5.0
similar,0,,suits,[],0.0,-5.0
action,0,,suits,[],0.0,-5.0
filing,0,,suits,[],0.0,-5.0
suits,0,,took,"['similar', 'action', 'filing']",0.0,-5.0
against,0,,took,['three'],0.0,-5.0
three,1,CARDINAL,against,['of'],0.0,-5.0
of,0,,three,['companies'],0.0,-5.0
the,0,,country,[],0.0,-5.0
country,0,,companies,"['the', ""'s""]",0.0,-5.0
's,0,,country,[],0.0,-5.0
biggest,0,,companies,[],0.0,-5.0
tech,0,,companies,[],0.0,-5.0
companies,0,,of,"['country', 'biggest', 'tech', 'claiming']",0.0,-5.0
claiming,0,,companies,['censored'],0.0,-5.0
he,0,,censored,"['and', 'conservatives']",0.0,-5.0
and,0,,he,[],0.0,-5.0
other,0,,conservatives,[],0.0,-5.0
conservatives,0,,he,['other'],0.0,-5.0
had,0,,censored,[],0.0,-5.0
been,0,,censored,[],0.0,-5.0
wrongfully,0,,censored,[],-2.0,-5.0
censored,0,,claiming,"['he', 'had', 'been', 'wrongfully', 'suspended']",-2.0,-5.0
after,0,,suspended,[],0.0,-5.0
his,0,,accounts,[],0.0,-5.0
accounts,0,,suspended,['his'],0.0,-5.0
were,0,,suspended,[],0.0,-5.0
suspended,0,,censored,"['after', 'accounts', 'were']",-1.0,-5.0
It,0,,'s,[],0.0,0.0
's,0,,'s,"['It', 'tactic', '.']",0.0,0.0
a,0,,tactic,[],0.0,0.0
tactic,0,,'s,"['a', 'used']",0.0,0.0
Trump,1,ORG,used,[],0.0,0.0
has,0,,used,[],0.0,0.0
used,0,,tactic,"['Trump', 'has', 'again']",0.0,0.0
again,0,,used,"['and', 'again']",0.0,0.0
and,0,,again,[],0.0,0.0
again,0,,again,[],0.0,0.0
In,0,,In,"['casino', '.']",0.0,-5.0
the,0,,casino,[],0.0,-5.0
real,0,,estate,[],0.0,-5.0
estate,0,,casino,['real'],0.0,-5.0
casino,0,,In,"['the', 'estate', 'and', 'industries', 'made']",0.0,-5.0
and,0,,casino,[],0.0,-5.0
other,0,,industries,[],0.0,-5.0
industries,0,,casino,['other'],0.0,-5.0
where,0,,made,[],0.0,-5.0
the,0,,president,[],0.0,-5.0
former,0,,president,[],0.0,-5.0
president,0,,made,"['the', 'former']",0.0,-5.0
made,0,,casino,"['where', 'president', 'fortunes', 'and', 'lost']",0.0,-5.0
fortunes,0,,made,[],0.0,-5.0
and,0,,made,[],0.0,-5.0
lost,0,,made,"['them', 'use', 'was']",-3.0,-5.0
them,0,,lost,[],0.0,-5.0
Trump,1,ORG,use,"[""'s""]",0.0,-5.0
's,0,,Trump,[],0.0,-5.0
use,0,,lost,"['Trump', 'of']",0.0,-5.0
of,0,,use,['lawsuits'],0.0,-5.0
lawsuits,0,,of,[],-2.0,-5.0
as,0,,was,[],0.0,-5.0
a,0,,weapon,[],0.0,-5.0
business,0,,weapon,[],0.0,-5.0
weapon,0,,was,"['a', 'business']",0.0,-5.0
was,0,,lost,"['as', 'weapon', 'legendary']",0.0,-5.0
legendary,0,,was,[],0.0,-5.0
He,0,,sued,[],0.0,-6.0
sued,0,,sued,"['He', 'or', 'threatened', '.']",-2.0,-6.0
or,0,,sued,[],0.0,-6.0
threatened,0,,sued,['sue'],-2.0,-6.0
to,0,,sue,[],0.0,-6.0
sue,0,,threatened,"['to', 'authorities']",-2.0,-6.0
contractors,0,,authorities,[],0.0,-6.0
business,0,,partners,[],0.0,-6.0
partners,0,,authorities,['business'],0.0,-6.0
tax,0,,authorities,[],0.0,-6.0
authorities,0,,sue,"['contractors', 'partners', 'tax', 'and', 'media']",0.0,-6.0
and,0,,authorities,[],0.0,-6.0
the,0,,media,[],0.0,-6.0
media,0,,authorities,['the'],0.0,-6.0
Trump,1,ORG,loved,[],0.0,0.0
loved,0,,said,"['Trump', 'sue']",3.0,0.0
to,0,,sue,[],0.0,0.0
sue,0,,loved,"['to', 'parties']",-2.0,0.0
especially,0,,parties,[],0.0,0.0
parties,0,,sue,"['especially', 'afford']",0.0,0.0
that,0,,afford,[],0.0,0.0
could,0,,afford,[],0.0,0.0
not,0,,afford,[],0.0,0.0
afford,0,,parties,"['that', 'could', 'not', 'defense']",0.0,0.0
a,0,,defense,[],0.0,0.0
legal,0,,defense,[],1.0,0.0
defense,0,,afford,"['a', 'legal']",0.0,0.0
said,0,,said,"['loved', 'turned', '.']",0.0,0.0
Barbara,1,PERSON,Res,[],0.0,0.0
Res,1,PERSON,executive,['Barbara'],0.0,0.0
a,0,,executive,[],0.0,0.0
former,0,,longtime,[],0.0,0.0
longtime,0,,executive,['former'],0.0,0.0
Trump,1,ORG,Organization,[],0.0,0.0
Organization,1,ORG,executive,['Trump'],0.0,0.0
executive,0,,turned,"['Res', 'a', 'longtime', 'Organization']",0.0,0.0
turned,0,,said,"['executive', 'critic']",0.0,0.0
critic,0,,turned,[],-2.0,0.0
She,0,,said,[],0.0,0.0
said,0,,said,"['She', 'was', '.']",0.0,0.0
one,1,CARDINAL,tactic,[],0.0,0.0
legal,0,,tactic,[],1.0,0.0
tactic,0,,was,"['one', 'legal', 'turned']",0.0,0.0
he,0,,turned,[],0.0,0.0
turned,0,,tactic,"['he', 'to']",0.0,0.0
to,0,,turned,[],0.0,0.0
often,0,,was,[],0.0,0.0
was,0,,said,"['tactic', 'often', 'suit']",0.0,0.0
the,0,,suit,[],0.0,0.0
preventive,0,,suit,[],0.0,0.0
strike,0,,suit,[],-1.0,0.0
suit,0,,was,"['the', 'preventive', 'strike', 'weaken']",0.0,0.0
to,0,,weaken,[],0.0,0.0
weaken,0,,suit,"['to', 'rivals', 'and', 'create']",0.0,0.0
rivals,0,,weaken,[],0.0,0.0
and,0,,weaken,[],0.0,0.0
create,0,,weaken,['impression'],0.0,0.0
the,0,,impression,[],0.0,0.0
impression,0,,create,"['the', 'was']",0.0,0.0
he,0,,was,[],0.0,0.0
was,0,,impression,"['he', 'party', 'acted']",0.0,0.0
the,0,,party,[],0.0,0.0
aggrieved,0,,party,[],0.0,0.0
party,0,,was,"['the', 'aggrieved']",0.0,0.0
before,0,,acted,[],0.0,0.0
they,0,,acted,[],0.0,0.0
acted,0,,was,"['before', 'they']",0.0,0.0
Trump,1,ORG,perception,"[""'s""]",0.0,-4.0
's,0,,Trump,[],0.0,-4.0
perception,0,,is,"['Trump', 'and', 'that']",0.0,-4.0
and,0,,perception,[],0.0,-4.0
that,0,,perception,['of'],0.0,-4.0
of,0,,that,['people'],0.0,-4.0
many,0,,people,[],0.0,-4.0
people,0,,of,['many'],0.0,-4.0
is,0,,said,"['perception', 'has']",0.0,-4.0
that,0,,has,[],0.0,-4.0
the,0,,person,[],0.0,-4.0
first,1,ORDINAL,person,[],0.0,-4.0
person,0,,has,"['the', 'first', 'sue']",0.0,-4.0
to,0,,sue,[],0.0,-4.0
sue,0,,person,['to'],-2.0,-4.0
has,0,,is,"['that', 'person']",0.0,-4.0
a,0,,Res,[],0.0,-4.0
legitimate,0,,complaint,[],0.0,-4.0
complaint,0,,Res,['legitimate'],-2.0,-4.0
Res,1,PERSON,said,"['a', 'complaint']",0.0,-4.0
said,0,,said,"['is', 'Res', '.']",0.0,-4.0
Indeed,0,,Indeed,"['defaulted', '.']",0.0,-5.0
when,0,,defaulted,[],0.0,-5.0
Trump,1,ORG,defaulted,[],0.0,-5.0
defaulted,0,,Indeed,"['when', 'Trump', 'on', 'during']",0.0,-5.0
on,0,,defaulted,['loan'],0.0,-5.0
a,0,,loan,[],0.0,-5.0
giant,0,,loan,[],0.0,-5.0
Deutsche,1,ORG,Bank,[],0.0,-5.0
Bank,1,ORG,loan,['Deutsche'],0.0,-5.0
loan,0,,on,"['a', 'giant', 'Bank', 'for']",0.0,-5.0
for,0,,loan,['hotel'],0.0,-5.0
his,0,,hotel,[],0.0,-5.0
Chicago,1,GPE,hotel,[],0.0,-5.0
hotel,0,,for,"['his', 'Chicago', 'and', 'tower']",0.0,-5.0
and,0,,hotel,[],0.0,-5.0
condo,0,,tower,[],0.0,-5.0
tower,0,,hotel,['condo'],0.0,-5.0
during,0,,defaulted,['crisis'],0.0,-5.0
the,0,,crisis,[],0.0,-5.0
2008,1,DATE,crisis,[],0.0,-5.0
financial,0,,crisis,[],0.0,-5.0
crisis,0,,during,"['the', '2008', 'financial', 'wait']",-3.0,-5.0
he,0,,wait,[],0.0,-5.0
did,0,,wait,[],0.0,-5.0
n't,0,,wait,[],0.0,-5.0
wait,0,,crisis,"['he', 'did', ""n't"", 'sued']",0.0,-5.0
to,0,,sued,[],0.0,-5.0
be,0,,sued,[],0.0,-5.0
sued,0,,wait,"['to', 'be']",-2.0,-5.0
Instead,0,,filed,[],0.0,-8.0
he,0,,filed,[],0.0,-8.0
filed,0,,filed,"['Instead', 'he', 'complaint', '.']",0.0,-8.0
a,0,,complaint,[],0.0,-8.0
complaint,0,,filed,"['a', 'accusing']",-2.0,-8.0
accusing,0,,complaint,['lender'],-2.0,-8.0
the,0,,lender,[],0.0,-8.0
lender,0,,accusing,"['the', 'of']",0.0,-8.0
of,0,,lender,['practices'],0.0,-8.0
predatory,0,,lending,[],-2.0,-8.0
lending,0,,practices,['predatory'],0.0,-8.0
practices,0,,of,"['lending', 'hurt']",0.0,-8.0
that,0,,hurt,[],0.0,-8.0
